title;title_min;points
var = "" \nКакой тип данных хранится в переменной var?\nНапишите в ответе только букву выбранного вами варианта ответа\na) int\nб) set\nв) list\nг) str\n;г);1
Для того чтобы получения скидки студенту НИУ ВШЭ необходимо закрыть последний экзамен, Макроэкономику (переменная macra), на 4 и выше, а также не иметь задолженности по другим предметам. \nПри выполнении какого из условий студент получает скидку?\n1)if failed_tests  ==  ‘False’ or  macra == 8:\n2)if not  failed_tests == ‘False’ and macra == 6: \n3)if failed_tests == ‘False’ and macra == 5:;3);1
var = variant[:5]\nКакие элементы переменной variant будут храниться в var?\n1)начиная с элемента под индексом 1 и заканчивая элементом под индексом 4 (включительно)\n2)начиная с элемента под индексом 0 и заканчивая элементом под индексом 4 (включительно)\n3)начиная с элемента под индексом 0 и заканчивая элементом под индексом 5 (включительно);2);1
В чём разница между такими типами данных, как список и кортеж?\nа)list, в отличие от tuple, является неизменяемым типом данных\nб)в list нельзя обращаться к данным по индексу\nв)в кортеж нельзя добавлять новые элементы, а в список - можно\nг)новый список можно создать с помощью круглых скобок;в);1
Ввод: ___.floor(13.5) \nВывод: 13 \nКакой модуль был использован для реализации кода? \n(Впишите без скобок и остальных знаков препинания только НАЗВАНИЕ модуля);math;3
Какой метод не работает с типом данных set?\n1).remove()\n2).strip()\n3).intersection()\n4).difference();2);1
Вы хотите написать функцию. Вы создали код: \ndef funk():\n  a=2 \n  print (b) \nНо компилятор выдаёт ошибку. Почему? \nа) Не учтена табуляция после функции \nб) В функцию не передаётся переменная b \nв) Функция пишется не через ключевое слово def, а через слово df \nг) Нет правильного варианта ответа;б);2
Каким способом не получится использовать функцию weekday()  из модуля calendar?\n1)написать в начале программы ‘import calendar’, затем использовать функцию, подставив нужный аргумент\n2)написать в начале программы ‘import calendar’, затем написать calendar.weekday() , подставив нужный аргумент\n3)написать ‘from calendar import weekday’, затем использовать функцию, подставив нужный аргумент;1);1
Что будет выведено в результате работы программы?\na=45 \nb=56 \nprint(str(b)+str(a)) \n1)101 \n2)4556 \n3)Ошибка: SyntaxError: unexpected EOF while parsing \n4)5645;4);1
Какое утверждение верно про функцию sorted?\n1)не меняет исходный объект\n2)не возвращает отсортированный список\n3)сортирует несколько типов данных;1);1
Какую команду необходимо использовать для того, чтобы прервать цикл while True?\na)stop\nb)halt\nc)break\nd)hold;c);1
Какой тип данных НЕ передается в функцию with open (…) as\n1)кодировка\n2)файл\n3)псевдоним\n4)режим;3);1
Какой логический оператор обладает наибольшим уровнем приоритета?\n1)and\n2)or\n3)not;3);1
Какой из методов можно использовать и со списками, и со строками?\n1).append()\n2).count()\n3).remove()\n4).isdigit();2);1
Введите пропущенную функцию: \nВвод: \nmat='GaLiLeO' \ncus=mat.___() \nprint(cus) \nВывод: galileo \nОтвет впишите БЕЗ скобок в конце;lower;3
bool относится к:\n1)логическому типу данных\n2)словарям\n3)последовательностям\n4)целым числам;1);1
Какая команда позволяет вернуть функцию?\n1)try\n2)come back\n3)print\n4)return;4);1
